health_region,site,input_type,n_t,n_p,n_pa,passive_surveillance_capture,col2_igm,col3_pcr,count
Arecibo,B-HGC,counts,20,1,0,,,,
Arecibo,C-DCH,counts,154,3,1,,,,
Arecibo,D-HBV,counts,1,0,0,,,,
Bayamón,A-HR,counts,1,0,0,,,,
Bayamón,C-DCH,counts,13,0,0,,,,
Caguas,A-HR,counts,134,8,0,,,,
Fajardo,C-DCH,counts,1,0,0,,,,
Mayagüez,B-HGC,counts,4,0,0,,,,
Mayagüez,C-DCH,counts,2,0,0,,,,
Mayagüez,D-HBV,counts,26,0,0,,,,
Metro,B-HGC,counts,1,0,0,,,,
Ponce,B-HGC,counts,48,1,0,,,,
Ponce,C-DCH,counts,1,0,0,,,,
Arecibo,B-HGC,test_pattern,,,,0,0,0,19
Arecibo,B-HGC,test_pattern,,,,0,0,1,1
Arecibo,C-DCH,test_pattern,,,,0,-1,0,3
Arecibo,C-DCH,test_pattern,,,,0,0,0,149
Arecibo,C-DCH,test_pattern,,,,0,1,0,1
Arecibo,C-DCH,test_pattern,,,,1,1,0,1
Arecibo,D-HBV,test_pattern,,,,0,0,0,1
Bayamón,A-HR,test_pattern,,,,0,0,0,1
Bayamón,C-DCH,test_pattern,,,,0,0,0,12
Bayamón,C-DCH,test_pattern,,,,0,0,1,1
Caguas,A-HR,test_pattern,,,,0,0,-1,3
Caguas,A-HR,test_pattern,,,,0,0,0,122
Caguas,A-HR,test_pattern,,,,0,0,1,1
Caguas,A-HR,test_pattern,,,,0,1,-1,1
Caguas,A-HR,test_pattern,,,,0,1,0,4
Caguas,A-HR,test_pattern,,,,0,1,1,3
Fajardo,C-DCH,test_pattern,,,,0,0,0,1
Mayagüez,B-HGC,test_pattern,,,,0,0,-1,1
Mayagüez,B-HGC,test_pattern,,,,0,0,0,2
Mayagüez,B-HGC,test_pattern,,,,0,1,1,1
Mayagüez,C-DCH,test_pattern,,,,0,0,0,2
Mayagüez,D-HBV,test_pattern,,,,0,0,0,26
Metro,B-HGC,test_pattern,,,,0,0,0,1
Ponce,B-HGC,test_pattern,,,,0,0,0,46
Ponce,B-HGC,test_pattern,,,,0,0,1,1
Ponce,B-HGC,test_pattern,,,,0,1,0,1
Ponce,C-DCH,test_pattern,,,,0,0,0,1
